,Unnamed: 0,en,file,file-name,type,length,date,smp,file_path,converted_file_path,segments,segments_count,audio,integer_code
0,0,Hooded Crow,https://xeno-canto.org/931935/download,XC931935-20240904_001_H1e_08_06_29.wav,call,0:07,2024-09-04,44100,AudioFile\XC931935-20240904_001_H1e_08_06_29.wav,audio_files/XC931935-20240904_001_H1e_08_06_29.wav,"[((0.5688888888888889), (1.1145578231292517)), ((2.670294784580499), (3.1695238095238096)), ((5.804988662131519), (6.315827664399093)), ((6.826666666666667), (7.325895691609977))]",4,[0.00447083 0.00540161 0.00520325 ... 0.00210571 0.00285339 0.00167847],1
1,1,Hooded Crow,https://xeno-canto.org/930288/download,XC930288-20240827_001_H1e_08_05_48.wav,call,0:04,2024-08-27,44100,AudioFile\XC930288-20240827_001_H1e_08_05_48.wav,audio_files/XC930288-20240827_001_H1e_08_05_48.wav,"[((0.7314285714285714), (1.0448979591836736)), ((1.4628571428571429), (1.7298866213151927)), ((1.9620861678004535), (2.0085260770975055)), ((2.182675736961451), (2.507755102040816)), ((2.5774149659863945), (2.914104308390023)), ((3.2624036281179136), (3.645532879818594)), ((3.982222222222222), (4.3769614512471655))]",7,"[ 0.00367737  0.00582886  0.00637817 ... -0.00810242 -0.01062012
 -0.00566101]",1
2,2,Hooded Crow,https://xeno-canto.org/930082/download,XC930082-20240826_001_H1e_09_03_53.wav,call,0:22,2024-08-26,48000,AudioFile\XC930082-20240826_001_H1e_09_03_53.wav,audio_files/XC930082-20240826_001_H1e_09_03_53.wav,"[((2.020136054421769), (2.6006349206349206)), ((2.995374149659864), (3.575873015873016)), ((16.39328798185941), (16.973786848072564)), ((17.41496598639456), (17.98385487528345))]",4,"[ 0.00406191  0.00460359  0.00391816 ... -0.00047314 -0.00070009
 -0.00039059]",1
3,3,Hooded Crow,https://xeno-canto.org/929213/download,XC929213-20240822_LSP5_0183_10_02_48.wav,call,0:08,2024-08-22,48000,AudioFile\XC929213-20240822_LSP5_0183_10_02_48.wav,audio_files/XC929213-20240822_LSP5_0183_10_02_48.wav,"[((5.921088435374149), (6.42031746031746))]",1,[0.00065025 0.00059313 0.00057572 ... 0.00078842 0.00101328 0.        ],1
4,4,Hooded Crow,https://xeno-canto.org/931936/download,XC931936-20240904_001_H1e_08_28_19.wav,"call, subsong, Juvenile grunt",0:18,2024-09-04,44100,AudioFile\XC931936-20240904_001_H1e_08_28_19.wav,audio_files/XC931936-20240904_001_H1e_08_28_19.wav,"[((0.29024943310657597), (0.8591383219954648)), ((0.7082086167800453), (0.9868480725623583)), ((1.1029478458049886), (1.1261678004535147)), ((1.1493877551020408), (1.1609977324263039)), ((1.253877551020408), (1.3931972789115645)), ((1.4396371882086167), (1.509297052154195)), ((3.7035827664399092), (5.479909297052155)), ((6.130068027210885), (6.350657596371882)), ((6.815056689342404), (7.047256235827664)), ((7.523265306122449), (7.743854875283446)), ((16.54421768707483), (16.764807256235827)), ((17.2756462585034), (17.4962358276644))]",12,"[ 1.5106201e-03  1.8310547e-03  6.1035156e-05 ... -3.3569336e-04
 -5.7983398e-04 -3.0517578e-05]",1
5,5,Hooded Crow,https://xeno-canto.org/926703/download,XC926703-20240812_H1e_07_17_55.wav,"call, ""Greeting"" or ""contact"" call",0:03,2024-08-12,48000,AudioFile\XC926703-20240812_H1e_07_17_55.wav,audio_files/XC926703-20240812_H1e_07_17_55.wav,"[((1.18421768707483), (1.6718367346938776)), ((2.2058956916099772), (2.705124716553288)), ((3.250793650793651), (3.7384126984126986))]",3,"[ 1.7221549e-03  7.6563633e-04  9.6110132e-05 ... -1.2813905e-03
 -1.1387898e-03  0.0000000e+00]",1
6,6,Hooded Crow,https://xeno-canto.org/931085/download,XC931085-20240830_001_H1e_08_15_53.wav,"call, subsong",0:05,2024-08-30,44100,AudioFile\XC931085-20240830_001_H1e_08_15_53.wav,audio_files/XC931085-20240830_001_H1e_08_15_53.wav,"[((0.4527891156462585), (0.7430385487528345)), ((1.3815873015873017), (1.6602267573696146)), ((2.2987755102040817), (2.6122448979591835)), ((3.5874829931972787), (3.877732426303855)), ((3.5874829931972787), (4.5859410430839))]",5,"[ 5.0506592e-03  4.2419434e-03  2.5787354e-03 ...  1.5258789e-04
  1.5258789e-05 -2.5939941e-04]",1
7,7,Hooded Crow,https://xeno-canto.org/930815/download,XC930815-20240829_001_H1e_08_26_44.wav,call,0:37,2024-08-29,44100,AudioFile\XC930815-20240829_001_H1e_08_26_44.wav,audio_files/XC930815-20240829_001_H1e_08_26_44.wav,"[((0.5108390022675737), (0.6385487528344671)), ((1.242267573696145), (1.3583673469387756)), ((1.9388662131519274), (2.089795918367347)), ((2.693514739229025), (2.8560544217687074)), ((10.65795918367347), (10.797278911564625)), ((30.55746031746032), (30.63873015873016)), ((31.660408163265306), (32.48471655328798)), ((32.229297052154195), (32.612426303854875)), ((32.658866213151924), (33.01877551020408)), ((33.35546485260771), (33.55283446712018)), ((33.63410430839002), (34.22621315192744)), ((35.37560090702948), (35.58458049886622)), ((36.07219954648526), (36.26956916099773)), ((36.78040816326531), (37.000997732426306))]",14,[0.00819397 0.00889587 0.00738525 ... 0.00108337 0.00132751 0.00068665],1
8,8,Hooded Crow,https://xeno-canto.org/930084/download,XC930084-20240826_001_H1e_09_33_59.wav,call,0:05,2024-08-26,48000,AudioFile\XC930084-20240826_001_H1e_09_33_59.wav,audio_files/XC930084-20240826_001_H1e_09_33_59.wav,"[((0.26702947845804986), (0.5456689342403628)), ((0.9404081632653061), (1.5789569160997732)), ((3.1927437641723357), (3.5294331065759637)), ((4.957460317460318), (5.2477097505668935))]",4,"[ 0.00221912  0.0017849   0.00085534 ... -0.00234645 -0.00288623
  0.        ]",1
9,9,Hooded Crow,https://xeno-canto.org/930073/download,XC930073-20240826_001_H1e_08_31_13.wav,"subsong, Grunts",0:17,2024-08-26,48000,AudioFile\XC930073-20240826_001_H1e_08_31_13.wav,audio_files/XC930073-20240826_001_H1e_08_31_13.wav,"[((2.043356009070295), (3.0882539682539685)), ((2.043356009070295), (3.0882539682539685)), ((3.1463038548752835), (3.378503401360544)), ((3.7732426303854876), (4.481451247165533)), ((16.66031746031746), (17.147936507936507))]",5,"[5.4303970e-04 1.7124441e-04 2.0586976e-05 ... 3.8625896e-03 4.5691738e-03
 3.4143338e-03]",1
