n_mfcc,n_fft,hop_length,n_mels,accuracy,validation_scores
20,128,64,64,0.966038,0.968673
20,128,32,64,0.964151,0.968669
20,64,32,40,0.956604,0.966029
20,64,32,64,0.949057,0.964519
20,64,32,32,0.950943,0.964139
20,256,64,64,0.956604,0.963764
20,64,64,64,0.954717,0.963388
20,256,32,64,0.954717,0.96301
20,256,32,32,0.949057,0.963009
20,64,64,40,0.956604,0.961499
20,256,64,32,0.950943,0.961499
20,256,128,64,0.954717,0.961123
20,64,64,40,0.956604,0.961121
20,256,128,32,0.939623,0.960747
20,256,64,40,0.954717,0.960744
20,128,64,40,0.950943,0.960363
13,64,32,64,0.95283,0.959233
13,128,64,64,0.949057,0.958475
20,256,32,40,0.945283,0.9581
